time(s)	PF1	PF2	PF3	PF4	PF5	PF6	CS3U	CS2U	CS1	CS2L	CS3L	~P	
0	40.47619	10.76879	1.0619778	3.4243986	0.20768115	20.987654	40	40	40	40	33.538301	-8.5e-015
0.053659	39.629937	10.442166	0.99690608	3.3211707	0.11221062	20.851435	39.765461	39.6631	39.983909	39.996914	33.196899	1.2832652e-013
0.10732	38.833798	10.154945	0.94085602	3.2263579	0.0348251	20.678246	39.545166	39.374835	39.869175	39.996278	32.994814	-9.9322098e-014
0.16098	38.07118	9.8924228	0.89120277	3.1374064	-0.030568707	20.48222	39.33235	39.118553	39.697557	39.997552	32.879506	-2.877325e-013
0.21463	37.337161	9.6504732	0.84727389	3.0533061	-0.093682388	20.315454	39.129486	38.861529	39.591823	39.97718	32.815763	1.3698606e-014
0.26829	36.627276	9.4252051	0.80855125	2.9737444	-0.1547566	20.166899	38.93381	38.603633	39.534197	39.941326	32.784638	-8.7780778e-013
0.32195	35.939535	9.2132968	0.77447654	2.898377	-0.21392216	20.03029	38.716544	38.463254	39.494913	39.898641	32.773668	7.8669298e-013
0.37561	35.271114	9.0118858	0.74447347	2.8268115	-0.27137019	19.901788	38.477395	38.438588	39.359602	39.879235	32.771266	-1.3559413e-012
0.42927	34.619421	8.8185352	0.71799261	2.7586534	-0.32728155	19.778933	38.224133	38.486465	39.167703	39.875587	32.774131	-4.0309418e-013
0.48293	33.982543	8.6312507	0.69454708	2.6935465	-0.38180371	19.660204	37.961903	38.579682	38.942336	39.882699	32.780302	6.0213436e-013
0.53659	33.35912	8.4484646	0.67375052	2.6313426	-0.43229569	19.528216	37.694121	38.701262	38.69788	39.897051	32.791696	-1.0651879e-012
0.59024	32.74818	8.2689547	0.65527951	2.5719729	-0.47531442	19.36375	37.423041	38.840424	38.442904	39.916207	32.811502	-1.3604442e-012
0.6439	32.149008	8.0917459	0.63879236	2.5150869	-0.51261549	19.180828	37.150143	38.990329	38.182578	39.939003	32.837228	-1.6870828e-012
0.69756	31.558347	7.9160361	0.62399261	2.46039	-0.54555255	18.987754	36.898569	39.141146	37.920317	39.964536	32.867067	7.3760128e-013
0.75122	30.970417	7.7410995	0.61062014	2.4076298	-0.5751253	18.789607	36.710965	39.279516	37.658608	39.992021	32.899759	-3.3531673e-012
0.80488	30.386065	7.5663274	0.59844987	2.3565836	-0.60209722	18.589451	36.5736	39.406534	37.398274	40.020995	32.934375	3.1855559e-012
0.85854	29.806171	7.391196	0.58728228	2.3070491	-0.62706151	18.389122	36.475843	39.523515	37.139691	40.051078	32.970237	-4.4961716e-012
0.9122	29.231509	7.2152688	0.57694118	2.2588422	-0.65059055	18.197598	36.409191	39.632228	36.881014	40.112494	32.882875	2.4817127e-012
0.96585	28.66263	7.0382051	0.56727218	2.2117964	-0.67293569	18.013263	36.369802	39.721472	36.624209	40.194264	32.719194	-6.3567008e-012
1.0195	28.099046	6.8597708	0.5581456	2.1657683	-0.69425799	17.834641	36.379219	39.675556	36.383545	40.266573	32.513081	2.6541411e-012
1.0732	27.759943	6.6547028	0.54800445	2.1203685	-0.71472907	17.660497	36.398865	39.544242	36.171216	40.273028	32.294724	-8.5741561e-012
1.1268	27.484525	6.7700918	0.5133761	2.1095582	-0.73846105	17.489881	36.43485	39.334234	36.072517	40.204333	32.075895	1.891343e-012
1.1805	27.200322	7.4552307	0.4337557	2.1474744	-0.76839411	17.32207	36.453483	39.205747	36.027099	40.082126	31.859185	71.971224
1.2341	26.921138	8.0968693	0.35015317	2.1098069	-0.63075778	17.173529	36.4919	38.98824	36.025147	39.885183	31.762692	133.1497
1.2878	26.641545	8.7105633	0.2610919	2.0508839	-0.47593542	17.041464	36.543381	38.71432	36.049074	39.633987	31.741258	185.93158
1.3415	26.380137	9.0133381	0.1842734	1.9787662	-0.30808736	16.91878	36.60229	38.411301	36.060594	39.423101	31.749306	231.93025
1.3951	26.13607	9.0811319	0.11884117	1.897565	-0.13147156	16.800863	36.662885	38.111906	35.979281	39.265144	31.769298	273.71656
1.4488	25.905389	9.0056048	0.062137691	1.8159865	-0.0103014	16.691393	36.723553	37.821275	35.841428	39.146626	31.793926	313.87373
1.5024	25.634674	8.848752	0.012253087	1.7360704	0.05975582	16.589159	36.792582	37.522112	35.722974	39.043781	31.82133	353.53087
1.5561	25.339941	8.645211	-0.032386143	1.6583719	0.099979457	16.458041	36.802018	37.22017	35.671375	38.897198	31.751633	392.29885
1.6098	25.026012	8.4159929	-0.072968909	1.5827612	0.11883968	16.311981	36.765362	36.919299	35.660512	38.716759	31.62471	429.74942
1.6634	24.696683	8.1737982	-0.11033654	1.509101	0.1223779	16.158657	36.692733	36.621565	35.674832	38.509668	31.464302	466.02729
aver       	30.977374	8.449872	0.5277793	2.4016193	-0.33705578	18.508726	37.39317	38.793718	37.551254	39.794378	32.475589	84.48922
